ph,turbidity,temperature,quality
6.68,9.435,26.071,Poor
6.693,0.677,19.571,Good
8.615,14.129,16.68,Very Poor
7.874,3.125,30.008,Good
8.098,6.554,28.793,Poor
8.162,3.215,25.232,Good
6.865,0.14,21.584,Excellent
8.147,2.839,26.575,Good
8.013,2.735,22.234,Good
7.9,8.234,24.845,Poor
5.845,8.987,28.236,Poor
8.171,2.44,19.714,Good
8.071,3.153,25.552,Good
8.155,1.326,18.631,Good
8.313,9.29,31.521,Poor
7.965,0.867,27.653,Good
7.327,0.303,23.312,Excellent
8.903,6.746,31.312,Poor
8.104,2.417,21.244,Good
8.586,6.799,23.144,Poor
8.102,1.785,26.319,Good
8.115,4.561,23.337,Poor
8.078,2.319,25.842,Good
8.038,2.358,25.42,Good
7.929,3.931,25.61,Good
7.954,1.182,27.482,Good
7.954,0.603,27.159,Good
7.97,3.462,27.436,Good
8.028,4.91,23.145,Poor
8.064,3.43,20.054,Good
8.058,1.974,25.246,Good
8.094,5.316,28.678,Poor
8.132,2.667,25.049,Good
8.031,2.051,20.303,Good
12.847,27.312,28.096,Unsafe
8.043,2.893,22.823,Good
8.099,6.982,21.253,Poor
8.119,6.61,19.791,Poor
8.206,3.029,18.762,Good
8.115,5.665,24.991,Poor
8.106,3.043,25.658,Good
8.128,2.489,21.184,Good
8.038,3.625,22.966,Good
7.963,0.885,27.991,Good
6.912,3.775,28.774,Good
8.129,2.464,17.491,Good
8.017,1.803,22.165,Good
9.423,11.643,25.952,Very Poor
8.158,4.17,26.116,Poor
8.123,5.933,27.682,Poor
8.082,1.636,25.512,Good
8.074,4.199,24.661,Poor
8.026,2.338,25.389,Good
7.007,0.66,23.267,Excellent
6.866,1.986,23.259,Good
5.863,4.27,30.787,Poor
8.145,2.93,25.111,Good
8.768,11.632,31.299,Very Poor
7.977,6.908,28.352,Poor
8.104,4.713,28.238,Poor
8.175,2.905,25.802,Good
8.162,7.329,19.261,Poor
6.663,18.337,25.014,Very Poor
8.102,1.849,21.86,Good
7.506,1.676,27.282,Good
8.094,3.417,24.628,Good
7.985,1.317,27.337,Good
8.141,2.504,24.874,Good
7.978,1.248,27.829,Good
8.093,3.42,23.359,Good
8.089,2.332,25.855,Good
9.043,7.892,30.142,Poor
8.0,3.352,27.782,Good
8.203,2.649,17.244,Good
7.978,0.867,27.999,Good
8.082,3.905,28.941,Good
8.087,3.424,20.322,Good
8.157,7.329,22.856,Poor
8.144,1.717,20.154,Good
7.93,3.552,31.253,Good
7.986,4.425,26.833,Poor
7.289,0.637,22.592,Excellent
7.963,4.636,25.939,Poor
8.222,2.806,18.399,Good
8.017,0.667,27.961,Good
8.017,0.636,26.835,Good
7.992,3.664,28.479,Good
8.096,4.419,21.12,Poor
8.207,6.756,18.757,Poor
7.888,3.084,27.328,Good
8.119,4.545,21.543,Poor
8.119,3.283,25.948,Good
8.087,2.186,26.114,Good
8.276,0.844,24.242,Good
8.086,2.169,21.136,Good
8.15,17.943,28.117,Very Poor
8.328,1.992,27.672,Good
7.982,1.853,25.218,Good
8.172,4.048,20.211,Poor
6.81,10.42,23.996,Very Poor
8.048,2.353,21.305,Good
8.1,2.006,20.211,Good
6.891,2.138,27.318,Good
7.961,0.61,27.774,Good
8.108,2.997,24.102,Good
7.139,2.747,21.578,Good
8.175,7.052,20.341,Poor
6.99,0.848,22.035,Excellent
7.269,0.395,20.473,Excellent
7.606,1.849,24.903,Good
8.477,5.829,21.431,Poor
6.918,9.395,19.945,Poor
8.067,2.759,23.026,Good
8.073,2.693,22.286,Good
8.181,2.502,17.995,Good
7.199,1.056,21.548,Good
8.056,2.425,22.449,Good
8.046,3.641,28.822,Good
7.999,2.223,26.999,Good
7.05,1.438,18.926,Good
8.053,1.98,25.961,Good
7.938,3.684,27.777,Good
0.62,37.207,15.72,Unsafe
6.615,1.14,28.041,Good
8.231,7.978,19.73,Poor
8.197,2.541,17.119,Good
8.136,3.519,19.053,Good
8.171,4.538,26.372,Poor
3.678,48.601,19.332,Unsafe
8.168,2.78,19.173,Good
7.95,3.975,27.582,Good
7.933,3.802,26.679,Good
8.121,3.278,20.347,Good
8.177,2.308,18.708,Good
7.646,8.818,18.761,Poor
7.99,4.705,25.601,Poor
7.984,1.615,27.609,Good
8.287,0.995,21.132,Good
8.215,2.64,18.239,Good
8.09,2.876,20.53,Good
8.209,3.271,18.02,Good
0.723,38.298,32.411,Unsafe
8.191,5.921,29.028,Poor
7.948,3.366,27.468,Good
8.105,4.501,27.737,Poor
7.098,0.735,20.698,Excellent
7.943,2.939,27.228,Good
7.98,0.942,27.427,Good
7.943,3.185,27.322,Good
2.125,33.45,37.78,Unsafe
6.915,8.058,18.01,Poor
7.943,4.364,28.127,Poor
7.944,3.888,26.656,Good
7.33,0.128,20.831,Excellent
8.115,2.874,22.009,Good
8.165,2.784,17.101,Good
8.115,2.629,27.699,Good
7.959,0.842,27.787,Good
8.111,2.676,21.646,Good
8.184,3.403,26.037,Good
8.247,11.748,16.962,Very Poor
7.953,3.972,26.102,Good
4.498,30.019,20.057,Unsafe
8.075,4.496,22.871,Poor
8.106,3.367,25.838,Good
8.092,1.98,26.137,Good
9.023,6.605,31.989,Poor
8.118,3.08,24.096,Good
8.164,4.227,20.456,Poor
7.948,0.732,27.768,Good
8.019,3.485,28.539,Good
5.535,16.279,27.716,Very Poor
8.484,2.616,28.914,Good
8.115,2.964,24.091,Good
8.039,3.216,30.428,Good
7.184,0.54,21.958,Excellent
7.927,3.412,29.932,Good
8.084,2.354,21.05,Good
8.088,3.318,23.835,Good
7.084,8.575,28.33,Poor
8.138,3.326,20.796,Good
7.021,2.321,25.195,Good
8.328,2.978,28.48,Good
6.889,0.13,22.227,Excellent
7.399,0.288,20.346,Excellent
8.104,2.976,25.993,Good
8.189,3.841,27.533,Good
4.766,51.654,10.783,Unsafe
8.192,7.962,24.921,Poor
8.333,3.44,18.868,Good
7.975,1.453,27.803,Good
7.988,3.587,29.077,Good
8.187,5.62,23.84,Poor
8.113,2.927,28.816,Good
5.136,12.658,20.822,Very Poor
8.098,1.942,26.379,Good
8.02,2.285,24.397,Good
8.048,1.438,24.828,Good
6.692,6.24,26.861,Poor
8.216,3.537,17.9,Good
8.158,1.877,19.001,Good
7.993,4.123,27.41,Poor
8.156,2.972,17.274,Good
8.092,3.036,25.563,Good
7.975,5.503,24.712,Poor
8.195,2.149,20.462,Good
8.119,2.501,17.12,Good
8.06,2.286,29.159,Good
7.77,0.968,22.414,Good
7.989,4.283,27.354,Poor
7.214,3.614,18.73,Good
7.94,1.5,27.259,Good
7.954,0.702,27.902,Good
7.338,0.199,20.763,Excellent
7.971,3.668,30.634,Good
7.947,5.23,26.106,Poor
8.151,2.658,19.603,Good
8.102,4.059,23.262,Poor
8.055,3.365,30.557,Good
7.966,3.59,31.414,Good
8.154,2.984,21.287,Good
8.131,2.685,18.004,Good
8.229,3.307,17.724,Good
6.791,3.04,18.847,Good
7.227,0.501,21.401,Excellent
8.128,2.384,25.992,Good
8.159,5.042,24.01,Poor
8.195,2.541,17.341,Good
9.041,8.807,23.88,Poor
7.214,9.168,19.994,Poor
8.139,3.102,24.295,Good
3.225,31.438,11.334,Unsafe
8.01,1.296,27.487,Good
7.736,0.717,28.773,Good
8.142,3.275,26.522,Good
5.07,19.755,29.239,Very Poor
6.102,4.846,19.685,Poor
8.052,2.884,22.486,Good
7.851,3.718,26.403,Good
7.968,5.167,25.123,Poor
5.936,19.848,33.511,Very Poor
9.573,19.619,20.52,Very Poor
8.087,2.403,25.779,Good
8.189,2.702,17.124,Good
8.134,2.11,19.844,Good
8.165,4.875,21.278,Poor
1.616,51.499,27.297,Unsafe
7.962,3.792,26.926,Good
7.982,3.766,27.243,Good
11.891,36.724,19.798,Unsafe
8.144,2.77,25.077,Good
8.134,6.201,25.513,Poor
7.083,0.692,23.315,Good
7.987,4.055,28.13,Poor
8.056,2.792,24.05,Good
8.065,2.064,22.192,Good
9.091,8.535,30.732,Poor
8.148,4.547,20.59,Poor
7.939,3.368,27.364,Good
8.152,1.288,19.914,Good
6.62,16.222,18.466,Very Poor
7.143,0.905,22.001,Excellent
7.031,12.918,25.45,Very Poor
7.964,2.914,29.054,Good
8.08,4.693,27.958,Poor
8.005,3.117,24.357,Good
2.444,42.709,26.379,Unsafe
7.961,3.351,27.279,Good
5.205,14.937,28.24,Very Poor
11.183,29.33,31.749,Unsafe
8.112,3.18,21.2,Good
8.049,2.565,21.366,Good
8.091,3.098,23.426,Good
8.147,6.327,29.05,Poor
7.965,0.725,27.945,Good
8.064,1.678,22.304,Good
7.949,5.762,25.722,Poor
8.299,6.778,22.463,Poor
1.77,47.516,13.783,Unsafe
7.963,1.535,27.311,Good
8.124,4.189,21.572,Poor
8.207,4.307,18.457,Poor
8.212,2.624,19.242,Good
8.176,3.052,21.595,Good
8.141,2.576,24.741,Good
11.415,21.941,26.825,Unsafe
8.435,4.955,20.041,Poor
8.304,3.616,27.099,Good
7.962,1.145,26.102,Good
8.153,1.785,20.306,Good
8.067,3.354,24.207,Good
8.119,3.594,27.997,Good
8.157,1.864,19.931,Good
8.345,1.626,22.751,Good
8.192,4.132,19.978,Poor
8.087,2.396,21.904,Good
8.104,3.425,29.759,Good
8.121,2.178,25.901,Good
8.127,2.539,26.859,Good
2.673,22.19,14.89,Unsafe
7.823,16.505,29.365,Very Poor
8.151,3.434,18.167,Good
6.808,16.662,28.031,Very Poor
8.032,2.033,23.981,Good
6.567,5.458,31.448,Poor
8.132,3.792,25.473,Good
8.164,2.705,25.329,Good
6.7,0.753,24.674,Good
7.951,3.443,27.596,Good
8.082,4.621,27.38,Poor
8.022,4.022,27.649,Poor
7.964,4.221,25.539,Poor
7.991,3.19,27.781,Good
8.58,4.656,18.002,Poor
7.939,3.855,26.959,Good
8.132,5.178,27.102,Poor
8.077,4.045,24.499,Poor
8.1,8.794,25.579,Poor
8.795,4.878,31.943,Poor
7.38,11.819,28.464,Very Poor
8.055,2.456,26.132,Good
7.935,4.293,27.112,Poor
7.952,1.127,27.932,Good
6.885,0.86,20.049,Excellent
8.133,3.47,20.432,Good
7.602,6.235,31.023,Poor
8.145,2.465,25.242,Good
7.957,1.519,27.547,Good
8.186,2.457,18.37,Good
6.891,0.346,22.029,Excellent
7.176,0.518,21.674,Excellent
8.132,2.34,21.077,Good
7.989,1.604,27.306,Good
7.932,4.054,27.453,Poor
8.805,12.788,21.265,Very Poor
8.188,2.734,17.322,Good
8.183,7.08,26.957,Poor
8.127,2.648,25.419,Good
7.129,7.354,23.953,Poor
2.582,45.429,12.494,Unsafe
7.301,0.166,22.601,Excellent
9.036,13.353,18.395,Very Poor
8.181,5.324,18.321,Poor
7.553,2.309,25.758,Good
7.493,19.699,33.301,Very Poor
7.969,3.589,27.249,Good
7.979,7.186,26.413,Poor
0.795,47.678,29.897,Unsafe
8.164,2.819,25.423,Good
6.84,0.738,20.351,Excellent
8.041,4.017,22.147,Poor
8.046,2.07,22.496,Good
8.086,2.703,21.492,Good
8.197,2.402,19.512,Good
6.434,4.898,18.245,Poor
8.113,3.006,25.21,Good
8.127,4.198,21.101,Poor
8.14,5.466,26.648,Poor
8.181,2.565,17.403,Good
8.177,4.129,26.068,Poor
6.999,0.299,21.775,Excellent
8.16,5.991,29.132,Poor
8.076,1.803,25.889,Good
7.897,1.524,27.325,Good
8.128,4.062,19.207,Poor
8.067,3.972,25.847,Good
7.336,0.289,20.743,Excellent
8.018,4.67,25.1,Poor
7.901,3.262,29.209,Good
5.997,5.446,31.774,Poor
8.141,4.157,25.962,Poor
7.039,0.419,22.381,Excellent
8.09,3.859,24.926,Good
6.94,0.923,21.881,Excellent
8.043,2.23,26.81,Good
6.857,0.83,22.197,Excellent
7.797,2.88,21.602,Good
6.508,7.328,20.974,Poor
6.829,0.259,21.437,Excellent
8.171,4.131,20.504,Poor
7.928,3.418,29.922,Good
8.208,3.407,18.639,Good
8.204,4.067,26.53,Poor
8.183,2.499,17.305,Good
8.634,6.573,30.776,Poor
8.007,3.543,28.172,Good
8.156,3.151,26.15,Good
8.095,3.136,20.466,Good
8.036,1.864,27.315,Good
8.199,4.039,24.049,Poor
7.411,0.617,18.682,Good
7.253,3.588,20.964,Good
8.212,3.635,19.004,Good
8.126,2.607,25.437,Good
8.132,2.767,18.476,Good
8.093,4.17,29.276,Poor
8.015,3.233,23.07,Good
8.047,2.916,22.306,Good
8.057,4.365,22.025,Poor
8.13,2.945,21.254,Good
8.14,2.796,26.536,Good
8.212,2.778,18.448,Good
6.745,3.333,21.254,Good
7.325,0.423,21.515,Excellent
11.816,26.349,27.348,Unsafe
8.14,4.039,19.92,Poor
12.888,40.481,19.815,Unsafe
7.568,4.303,28.293,Poor
8.07,1.277,24.606,Good
8.131,8.371,28.984,Poor
8.523,5.824,27.123,Poor
7.96,0.926,27.984,Good
7.967,3.25,27.925,Good
8.065,4.159,24.28,Poor
7.726,6.253,21.184,Poor
8.155,4.192,21.36,Poor
8.163,2.741,19.823,Good
6.902,0.92,20.815,Excellent
8.073,1.954,22.409,Good
7.929,3.035,28.297,Good
7.332,0.443,20.721,Excellent
8.16,3.897,17.833,Good
8.048,4.627,23.966,Poor
8.008,2.994,23.717,Good
8.053,1.995,26.054,Good
8.021,3.343,27.961,Good
1.481,46.684,22.535,Unsafe
7.651,3.715,25.139,Good
8.103,2.541,27.495,Good
8.012,2.778,23.114,Good
8.022,1.847,22.198,Good
7.909,6.872,27.962,Poor
8.112,3.032,23.076,Good
8.071,2.334,26.993,Good
8.046,2.076,21.983,Good
6.741,8.209,30.087,Poor
7.953,3.333,26.36,Good
8.041,2.143,21.743,Good
8.102,2.872,20.678,Good
8.124,2.784,25.484,Good
8.388,2.508,18.177,Good
8.218,8.649,20.363,Poor
7.267,1.225,20.372,Good
7.958,3.374,26.301,Good
7.298,0.297,22.864,Excellent
7.976,3.922,28.064,Good
7.326,0.118,21.226,Excellent
9.006,9.462,21.843,Poor
8.096,2.607,27.782,Good
8.157,6.294,20.574,Poor
8.054,2.062,26.041,Good
6.956,0.542,20.125,Excellent
7.999,2.922,23.42,Good
7.698,16.606,19.701,Very Poor
7.979,0.71,27.998,Good
6.89,0.404,20.426,Excellent
8.122,3.178,22.83,Good
8.089,1.996,26.048,Good
8.112,2.67,29.367,Good
8.106,3.774,28.22,Good
7.931,5.108,26.633,Poor
7.927,3.1,28.256,Good
8.143,2.818,25.329,Good
8.008,1.103,27.931,Good
8.139,2.74,26.512,Good
8.142,6.163,27.285,Poor
7.375,0.802,22.504,Excellent
8.022,2.734,24.346,Good
7.132,0.273,21.987,Excellent
6.967,3.756,22.305,Good
8.126,2.819,25.372,Good
7.996,8.677,19.989,Poor
6.863,6.025,24.016,Poor
8.144,2.512,26.549,Good
8.0,5.799,24.927,Poor
8.07,2.693,22.654,Good
7.999,2.689,27.036,Good
7.969,3.588,31.749,Good
6.846,2.385,28.186,Good
8.111,2.576,29.44,Good
9.869,16.27,21.975,Very Poor
8.192,3.733,19.358,Good
8.192,3.073,18.262,Good
8.075,5.97,29.332,Poor
7.98,2.905,23.688,Good
8.005,2.572,24.042,Good
8.073,2.295,21.207,Good
8.106,3.16,25.769,Good
8.104,1.939,21.702,Good
9.34,14.985,29.017,Very Poor
8.16,8.283,19.48,Poor
8.071,2.371,23.191,Good
8.078,2.664,23.202,Good
8.047,1.521,24.349,Good
8.177,3.152,17.743,Good
8.032,1.76,23.423,Good
7.367,0.313,21.171,Excellent
8.07,2.973,25.293,Good
8.02,1.905,22.237,Good
7.989,3.33,29.201,Good
8.963,14.349,19.624,Very Poor
8.795,6.793,23.879,Poor
7.956,3.28,27.0,Good
7.946,3.811,26.816,Good
8.102,2.633,30.55,Good
7.957,3.677,26.878,Good
8.054,3.448,29.325,Good
7.954,2.626,27.872,Good
3.472,26.352,25.443,Unsafe
7.964,6.783,25.362,Poor
8.152,3.737,20.417,Good
6.738,2.696,20.115,Good
8.487,4.623,31.095,Poor
7.253,2.847,25.249,Good
8.283,10.902,21.424,Very Poor
7.997,0.84,27.705,Good
8.18,3.655,27.44,Good
8.217,4.107,24.862,Poor
8.065,2.2,25.322,Good
8.061,2.367,25.109,Good
8.095,3.227,25.786,Good
8.085,2.837,29.646,Good
8.089,2.725,28.397,Good
8.074,3.097,28.91,Good
7.951,1.475,18.267,Good
7.966,5.882,27.836,Poor
8.107,3.054,24.279,Good
8.133,2.71,25.091,Good
7.931,6.894,23.484,Poor
8.069,5.343,28.836,Poor
8.366,4.582,25.007,Poor
8.003,0.675,26.789,Good
7.004,0.525,23.246,Excellent
5.83,13.775,18.173,Very Poor
8.137,2.766,25.085,Good
8.043,3.057,19.629,Good
7.941,4.272,26.512,Poor
8.082,5.218,27.704,Poor
8.049,3.156,28.985,Good
8.024,1.929,22.817,Good
8.125,2.58,20.688,Good
8.042,5.813,23.388,Poor
8.176,3.997,25.53,Good
7.995,3.102,27.872,Good
8.22,2.501,18.868,Good
8.146,1.119,26.657,Good
8.181,2.601,17.945,Good
8.076,2.921,22.655,Good
12.151,34.674,17.572,Unsafe
8.174,8.591,20.576,Poor
7.925,3.531,27.657,Good
6.531,7.295,23.752,Poor
8.01,1.734,27.141,Good
8.799,10.778,16.485,Very Poor
7.965,3.672,28.069,Good
7.399,0.629,23.325,Excellent
8.072,4.231,27.433,Poor
8.094,3.278,23.665,Good
7.108,0.42,21.837,Excellent
8.037,4.977,24.259,Poor
8.166,4.423,18.746,Poor
8.111,3.848,25.539,Good
7.995,3.266,25.273,Good
7.354,4.101,22.616,Poor
8.012,4.553,25.173,Poor
8.14,3.052,26.537,Good
8.093,6.762,30.347,Poor
7.919,7.626,21.726,Poor
7.958,4.4,27.409,Poor
8.114,3.073,20.421,Good
8.171,6.567,20.169,Poor
7.904,1.69,25.658,Good
13.495,38.448,24.924,Unsafe
8.132,6.282,24.104,Poor
8.135,2.509,17.344,Good
7.923,7.335,23.423,Poor
8.127,3.194,25.334,Good
7.974,1.592,27.731,Good
7.962,3.324,27.973,Good
8.218,2.714,18.152,Good
8.1,3.748,27.297,Good
8.195,2.53,18.174,Good
8.145,7.217,20.061,Poor
8.125,2.693,26.242,Good
8.15,4.545,25.668,Poor
8.584,14.198,22.78,Very Poor
7.958,0.819,27.819,Good
8.021,3.951,27.764,Good
8.08,3.204,25.572,Good
8.687,6.213,18.4,Poor
7.947,0.971,26.783,Good
8.5,2.504,24.136,Good
8.143,2.597,17.875,Good
8.141,3.624,26.27,Good
7.002,1.99,27.941,Good
8.174,2.691,17.234,Good
8.101,3.496,27.498,Good
8.16,7.364,20.374,Poor
8.106,2.643,20.688,Good
8.161,3.28,17.524,Good
7.328,3.511,20.44,Good
8.08,2.728,19.501,Good
7.974,1.488,27.842,Good
7.18,0.947,25.522,Good
8.161,2.681,20.167,Good
2.963,42.984,30.267,Unsafe
8.256,2.72,24.941,Good
9.634,14.491,30.853,Very Poor
8.176,4.915,21.218,Poor
7.984,3.271,28.535,Good
8.107,4.132,24.17,Poor
8.074,2.145,21.167,Good
6.633,3.002,23.088,Good
7.977,6.343,27.362,Poor
7.947,1.218,27.686,Good
6.06,6.595,29.591,Poor
7.678,9.106,30.887,Poor
8.142,3.535,24.329,Good
8.203,2.415,18.971,Good
8.142,3.458,19.054,Good
6.988,0.282,21.619,Excellent
7.929,2.594,21.94,Good
8.086,2.688,25.725,Good
8.068,2.648,23.045,Good
9.402,14.281,32.434,Very Poor
7.979,3.77,29.599,Good
8.127,2.65,26.994,Good
8.035,4.113,29.523,Poor
7.099,0.836,20.51,Excellent
7.981,2.509,23.547,Good
5.383,18.187,30.938,Very Poor
6.927,0.253,20.024,Excellent
8.105,8.3,27.373,Poor
8.02,1.159,22.664,Good
8.159,2.469,18.488,Good
8.087,2.501,20.949,Good
6.872,18.81,33.126,Very Poor
7.892,4.021,28.39,Poor
8.122,1.881,20.764,Good
7.923,5.249,26.697,Poor
8.166,3.712,25.25,Good
8.162,7.1,21.694,Poor
8.163,4.581,26.065,Poor
8.213,8.082,19.956,Poor
8.115,2.788,21.414,Good
7.894,3.905,27.679,Good
7.913,1.813,25.613,Good
8.06,1.852,22.218,Good
8.047,3.755,24.754,Good
8.138,5.536,30.255,Poor
8.149,4.248,25.906,Poor
7.283,3.817,20.699,Good
7.972,1.91,23.425,Good
8.137,2.9,26.926,Good
8.14,2.613,26.497,Good
8.372,18.716,23.624,Very Poor
7.041,0.056,23.475,Excellent
6.544,4.658,31.802,Poor
7.529,6.476,26.216,Poor
13.292,28.462,12.165,Unsafe
8.116,2.786,26.181,Good
6.178,8.399,29.543,Poor
8.089,3.327,20.267,Good
8.146,6.722,29.683,Poor
8.144,3.544,25.066,Good
8.159,5.168,26.343,Poor
5.912,8.275,30.623,Poor
8.882,7.537,21.025,Poor
8.116,3.467,23.495,Good
8.157,3.988,26.755,Good
8.112,3.283,25.824,Good
8.095,1.991,21.438,Good
7.97,4.236,27.297,Poor
8.077,2.695,29.531,Good
4.714,48.017,10.373,Unsafe
8.168,9.132,23.331,Poor
8.126,8.235,21.371,Poor
8.171,6.846,21.312,Poor
8.08,2.409,26.992,Good
8.144,8.076,20.079,Poor
8.156,3.562,25.223,Good
13.299,33.04,14.832,Unsafe
8.115,2.388,25.823,Good
7.902,4.973,23.814,Poor
8.134,4.101,19.17,Poor
7.812,3.082,29.872,Good
7.932,4.813,27.49,Poor
7.951,3.73,27.074,Good
8.169,1.892,19.207,Good
8.088,2.112,21.061,Good
8.103,2.402,20.57,Good
6.881,0.921,22.815,Excellent
8.168,4.299,27.022,Poor
7.924,1.28,27.288,Good
8.215,2.781,17.195,Good
7.949,0.92,27.652,Good
8.06,2.681,23.261,Good
8.195,4.518,19.687,Poor
7.946,4.294,27.344,Poor
6.824,0.367,21.119,Excellent
7.939,4.085,26.535,Poor
8.189,3.119,19.889,Good
8.158,4.148,25.749,Poor
7.986,0.933,26.588,Good
8.006,1.873,22.439,Good
8.169,2.233,17.869,Good
8.009,4.736,25.116,Poor
8.088,2.799,25.898,Good
7.994,3.624,23.022,Good
7.97,3.548,27.455,Good
7.972,3.247,26.276,Good
8.106,3.471,25.815,Good
6.895,2.363,22.141,Good
8.207,2.413,18.656,Good
6.483,12.612,31.926,Very Poor
7.923,0.713,27.859,Good
6.812,0.104,23.259,Excellent
8.151,3.107,19.967,Good
7.964,1.958,26.131,Good
6.745,11.362,29.445,Very Poor
11.82,41.611,24.577,Unsafe
8.013,1.561,24.076,Good
8.134,2.725,25.121,Good
6.815,0.692,20.881,Excellent
8.642,4.524,27.173,Poor
7.992,4.501,26.345,Poor
8.083,3.391,28.525,Good
8.107,3.208,21.552,Good
8.121,2.569,21.202,Good
7.988,0.653,26.951,Good
7.951,2.836,26.482,Good
8.091,6.677,25.419,Poor
7.997,5.542,24.44,Poor
6.498,15.341,32.791,Very Poor
8.168,1.777,18.649,Good
7.995,4.147,26.339,Poor
8.174,5.604,29.217,Poor
7.972,2.863,29.752,Good
7.961,3.528,29.409,Good
8.146,3.928,20.033,Good
8.064,1.721,27.504,Good
8.17,2.299,19.218,Good
7.288,0.565,22.611,Excellent
8.009,1.462,23.101,Good
7.992,3.411,27.964,Good
8.038,1.573,23.934,Good
8.046,3.629,29.579,Good
8.1,1.978,21.405,Good
8.058,3.229,29.605,Good
8.119,2.443,27.009,Good
7.143,0.273,22.121,Excellent
7.98,3.459,28.997,Good
7.045,2.264,25.714,Good
8.158,2.893,17.299,Good
